Model_Name,Topology_Vect,Model_arch,LR,TopoDim_concat,TopoDim,Config_file,Augmentation,Augmentation_Type,Train_loss,Train_Acc,Val_Loss,Val_Acc
Land_TBR_09,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.3,all,1.479297957680442,"tensor(98.2091, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.8200, device='cuda:0', dtype=torch.float64)"
BC_TR_0_9,bc,TR,0.0001,False,0,config/TBR_bc_small.json,0.3,non-topo,1.4991218380321156,"tensor(96.2891, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.9200, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,0,config/TBR_land_small.json,0.3,all,1.5032282747615466,"tensor(95.8964, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.2300, device='cuda:0', dtype=torch.float64)"
Land_TBR_10,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.5,non-topo,1.4952318982784565,"tensor(96.6708, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.2000, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,1,config/TBR_land_small.json,0.3,all,1.4997225729682229,"tensor(96.2291, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.3200, device='cuda:0', dtype=torch.float64)"
BC_TBR_15,bc,TBR,0.0001,False,1,config/TBR_bc_large.json,0.5,all,1.5280703112382157,"tensor(93.3292, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.8300, device='cuda:0', dtype=torch.float64)"
Land_TBR_09,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.5,non-topo,1.4759463845913228,"tensor(98.5508, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.7300, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,0,config/TBR_land_small.json,0.5,non-topo,1.4939612285027135,"tensor(96.8108, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.4700, device='cuda:0', dtype=torch.float64)"
BC_TBR_0_2,bc,TBR,0.0001,False,0,config/TBR_bc.json,0.3,topo,1.5447177602594548,"tensor(91.6855, device='cuda:0', dtype=torch.float64)",0.0,"tensor(83.7600, device='cuda:0', dtype=torch.float64)"
PI_IMG_1_TBR_DIM0_S_LR,pi_img,TBR_img,0.0001,False,0,,0.3,all,1.491411409967596,"tensor(97.0327, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.3600, device='cuda:0', dtype=torch.float64)"
